N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
78,CJ대한통운,"171,000","2,000",+1.18%,"5,000","39,009","22,812",21.08,"108,673",30.83,1.41,
79,롯데지주,"36,400",500,+1.39%,200,"38,187","104,909",11.28,"433,214",-5.33,-5.21,
80,LG화학우,"494,000","5,000",-1.00%,"5,000","37,983","7,689",62.82,"50,417",46.16,N/A,
81,삼성카드,"32,200",500,-1.53%,"5,000","37,307","115,859",10.78,"185,812",9.05,5.04,
82,삼성증권,"41,050",550,-1.32%,"5,000","36,658","89,300",26.32,"641,180",7.79,8.15,
83,만도,"78,000","2,000",-2.50%,"1,000","36,627","46,957",25.94,"1,355,643",-66.05,7.55,
84,GS,"39,050",700,-1.76%,"5,000","36,283","92,915",19.40,"355,713",-42.35,6.26,
85,쌍용양회,"6,890",70,+1.03%,100,"34,716","503,860",3.14,"2,816,710",27.67,7.02,
86,호텔신라,"88,100","2,600",+3.04%,"5,000","34,578","39,248",20.12,"1,729,253",-26.74,20.16,
87,GS건설,"42,550",950,-2.18%,"5,000","34,374","80,785",27.49,"970,620",11.13,11.79,
88,키움증권,"142,000","9,500",-6.27%,"5,000","34,190","24,077",22.29,"554,440",6.27,16.97,
89,동서,"33,600",350,+1.05%,500,"33,499","99,700",4.23,"235,942",24.22,10.53,
90,두산밥캣,"33,200","1,150",+3.59%,500,"33,283","100,249",21.84,"620,324",17.97,7.05,
91,더존비즈온,"109,500",500,-0.45%,500,"32,992","30,130",46.54,"91,908",68.05,18.78,
92,롯데쇼핑,"116,000","1,000",+0.87%,"5,000","32,815","28,289",11.87,"265,593",-2.45,-8.14,
93,NH투자증권,"11,600",50,-0.43%,"5,000","32,643","281,409",15.24,"1,742,952",5.64,9.12,
94,에스원,"84,300","1,900",-2.20%,500,"32,033","37,999",56.21,"83,344",22.18,11.32,
95,한국가스공사,"34,100",400,+1.19%,"5,000","31,479","92,313",8.71,"844,698",-6.27,0.48,
96,TIGER 200,"43,210",285,-0.66%,0,"31,176","72,150",3.89,"2,079,536",N/A,N/A,
97,CJ,"106,000","3,000",-2.75%,"5,000","30,928","29,177",20.40,"223,950",17.61,6.24,
98,DB하이텍,"69,200","2,100",-2.95%,"5,000","30,724","44,399",25.35,"2,529,427",18.67,17.40,
99,한국항공우주,"31,000",750,-2.36%,"5,000","30,217","97,475",14.36,"1,593,747",22.83,15.84,
100,씨에스윈드,"174,000",500,-0.29%,500,"30,077","17,286",9.07,"203,497",60.67,9.92,
101,현대차우,"122,000",500,-0.41%,"5,000","29,715","24,357",54.39,"265,812",29.15,N/A,
102,일진머티리얼즈,"64,400","3,000",+4.89%,500,"29,695","46,111",8.92,"1,058,763",66.80,8.52,
103,대우조선해양,"27,500",600,-2.14%,"5,000","29,505","107,291",9.37,"261,062",16.92,-1.22,
104,대웅,"50,700","2,800",-5.23%,500,"29,478","58,142",5.24,"875,327",58.41,10.43,
